Private IP,Instance Name,Tags
172.18.40.108,Allen Distribution UAT LUCA Server,AwsBackup=Required; WorkloadType=UAT; CostCenter=Allen Distribution
172.29.60.118,UPS-APAC-UAT-1,AwsBackup=Required; WorkloadType=UAT; CostCenter=UPS
172.29.61.153,UPS Birkenstock UAT,AwsBackup=Required; CostCenter=UPS; WorkloadType=UAT
172.29.60.181,UPS Productionization UAT Server - 1,WorkloadType=UAT; AwsBackup=Required; CostCenter=UPS
172.29.60.165,UPS Productionization UAT Server - 3,CostCenter=UPS; WorkloadType=UAT; AwsBackup=Required
172.29.60.119,UPS Productionization Post Sales UAT Bach Server - 1,CostCenter=UPS; WorkloadType=UAT; AwsBackup=Required
172.29.61.145,UPS Productionization UAT Server - 5,CostCenter=UPS; AwsBackup=Required; WorkloadType=UAT
172.29.61.155,UPS Productionization UAT Server - 4,CostCenter=UPS; WorkloadType=UAT; AwsBackup=Required
172.31.30.4,CraneLogistics Production Application Server - 1,AwsBackup=Required; WorkloadType=Production; CostCenter=CraneLogistics
172.31.30.15,CraneLogistics Production Batch Server,AwsBackup=Required; CostCenter=CraneLogistics; WorkloadType=Production
172.31.3.13,Softeon Demo Server - 6  (Replacement Server for 10.144),CostCenter=Softeon; WorkloadType=Production; AwsBackup=Required
172.29.60.105,UPS UAT Node 1,AwsBackup=Required; CostCenter=UPS; WorkloadType=UAT
172.29.84.60,Midea Production Application and Batch Server - 1,CostCenter=Midea; WorkloadType=Production; AwsBackup=Required
172.29.84.42,Midea Production Application Server - 2,WorkloadType=Production; CostCenter=Midea; AwsBackup=Required
172.29.100.104,NSI Production Application Server 2,AwsBackup=Required; WorkloadType=Production; CostCenter=NSI
172.29.100.111,NSI Production Batch Server,CostCenter=NSI; AwsBackup=Required; WorkloadType=Production
172.31.26.117,Kendra Scott Production Batch Server,CostCenter=Kendra Scott; WorkloadType=Production; AwsBackup=Required
172.31.26.124,Kendra Scott Production Application Server 2,AwsBackup=Required; CostCenter=Kendra Scott; WorkloadType=Production
172.18.40.118,Allen Distribution Production Batch Server,AwsBackup=Required; CostCenter=Allen Distribution; WorkloadType=Production
172.18.40.121,Allen Distribution Production Application Server - 2,WorkloadType=Production; CostCenter=Allen Distribution; AwsBackup=Required
172.29.61.133,UPS Birkenstock WES UAT and Production,CostCenter=UPS; WorkloadType=UAT; AwsBackup=Required
172.29.60.103,UPS Productionization Post Sales Production Batch Server - 1,CostCenter=UPS; AwsBackup=Required; WorkloadType=Production
172.29.60.121,UPS Productionization Post Sales Production Application Server - 2,CostCenter=UPS; AwsBackup=Required; WorkloadType=Production
172.29.60.124,UPS Pilot Production Node 2,AwsBackup=Required; WorkloadType=Production; CostCenter=UPS
172.31.27.106,Suncast  Production WMS Node 2,WorkloadType=Production; AwsBackup=Required; CostCenter=Suncast
172.29.60.189,UPS Productionization Production Application Server - 1,WorkloadType=Production; CostCenter=UPS; AwsBackup=Required
172.29.60.184,UPS Productionization Production Batch Server - 1,CostCenter=UPS; WorkloadType=Production; AwsBackup=Required
172.29.61.150,UPS Productionization Production Batch Server - 4,AwsBackup=Required; WorkloadType=Production; CostCenter=UPS
172.29.60.173,UPS WES Production,CostCenter=UPS; AwsBackup=Required; WorkloadType=Production
172.29.60.120,UPS Productionization Production Application Server - 7,AwsBackup=Required; WorkloadType=Production; CostCenter=UPS
172.29.59.39,UPS Productionization DOMS Production Batch Server,AwsBackup=Required; WorkloadType=Production; CostCenter=UPS
172.29.59.47,UPS Productionization DOMS Production Application Server - 2,WorkloadType=Production; AwsBackup=Required; CostCenter=UPS
172.29.60.116,UPS Productionization Production Application Server - 5,CostCenter=UPS; WorkloadType=Production; AwsBackup=Required
172.29.59.221,UPS Productionization API Production Application Server 2,CostCenter=UPS; AwsBackup=Required; WorkloadType=Production
172.29.60.110,UPS Productionization Production Batch Server - 5,CostCenter=UPS; AwsBackup=Required; WorkloadType=Production
172.29.60.126,UPS Productionization Production Batch Server - 7,CostCenter=UPS; WorkloadType=Production; AwsBackup=Required
172.29.59.210,UPS Productionization API Production Application Server 4,WorkloadType=Production; CostCenter=UPS; AwsBackup=Required
172.18.1.110,ZPA-App-Connector-VPC2-Node-2,WorkloadType=Production; CostCenter=Softeon; AwsBackup=Required
172.29.0.103,ZPA-App-Connector-VPC3-Node-2,AwsBackup=Required; CostCenter=Softeon; WorkloadType=Production
172.29.61.132,UPS Philips Production Batch,WorkloadType=Production; CostCenter=UPS; AwsBackup=Required
172.29.61.157,UPS APAC Production Batch,AwsBackup=Required; CostCenter=UPS; WorkloadType=Production
172.29.61.136,UPS APAC Production Node 1,AwsBackup=Required; WorkloadType=Production; CostCenter=UPS
172.29.61.146,UPS Philips Production Node 2,WorkloadType=Production; CostCenter=UPS; AwsBackup=Required
172.31.3.20,Softeon Demo Server - 5 - Node2 (Jboss Session Presistance),AwsBackup=Required; WorkloadType=Production; CostCenter=Softeon
172.31.18.6,PSS Production Batch Server,AwsBackup=Required; CostCenter=PSS; WorkloadType=Production
172.31.18.24,PSS Production App Server Node 1,CostCenter=PSS; AwsBackup=Required; WorkloadType=Production
172.31.22.12,Touchstone Production Application Server 1,WorkloadType=Production; CostCenter=TouchStone; AwsBackup=Required
172.29.10.26,UMG UAT Node 2 -US,WorkloadType=UAT; CostCenter=UMG; AwsBackup=Required
172.29.10.9,UMG NA Production Node1,CostCenter=UMG; AwsBackup=Required; WorkloadType=Production
172.29.10.13,UMG Production Node 1,AwsBackup=Required; WorkloadType=Production; CostCenter=UMG
172.29.70.10,Brooks Prod App Node 1,WorkloadType=Production; CostCenter=Brooks; AwsBackup=Required
10.0.7.176,Duluth Production Application Server - 5,CostCenter=Duluth; WorkloadType=Production; AwsBackup=Required
10.0.7.29,Duluth Production Batch Server - 1,CostCenter=Duluth; WorkloadType=Production; AwsBackup=Required
10.0.7.27,Duluth Production Application Server - 4,WorkloadType=Production; CostCenter=Duluth; AwsBackup=Required
172.18.10.4,NFI Production Application Server 1,WorkloadType=Production; CostCenter=NFI; AwsBackup=Required
10.0.7.7,Duluth Production Application Server - 1,WorkloadType=Production; AwsBackup=Required; CostCenter=Duluth
10.0.9.151,SaddleCreek Central Prod Node 2,WorkloadType=Production; AwsBackup=Required; CostCenter=SaddleCreek
172.72.2.15,Softeon Template AL2023 - X86,CostCenter=Softeon
172.29.60.243,UPS-APACPZN-UAT,WorkloadType=UAT; AwsBackup=Required; CostCenter=UPS
172.31.30.51,CraneLogistics Production Application Server - 2,WorkloadType=Production; CostCenter=CraneLogistics; AwsBackup=Required
10.0.10.36,SaddleCreek East-West Prod Node 2,CostCenter=SaddleCreek; WorkloadType=Production; AwsBackup=Required
172.28.24.236,UPSHC QA Batch Server - 4,AwsBackup=Required; WorkloadType=QA; CostCenter=UPSHC
172.28.24.57,UPSHC QA Batch Server - 3,AwsBackup=Required; CostCenter=UPSHC; WorkloadType=QA
172.18.35.43,Cycle-Logistics Production Batch Server,WorkloadType=Production; CostCenter=Cycle-Logistics; AwsBackup=Required
10.64.24.105,DoItBest-N.V Production Batch Server - 1 (MTG),WorkloadType=Production; AwsBackup=Required; CostCenter=DoItBest
172.29.60.234,UPS Birkenstock Production App Node 1,WorkloadType=Production; AwsBackup=Required; CostCenter=UPS
172.29.61.125,UPS Swarovski Production Application Server 1,AwsBackup=Required; WorkloadType=Production; CostCenter=UPS
172.29.60.237,UPS Birkenstock Production BatchApp,AwsBackup=Required; WorkloadType=Production; CostCenter=UPS
10.154.0.50,Technicolor Production Batch Server - 1,WorkloadType=Production; AwsBackup=Required; CostCenter=Technicolor
172.28.25.53,ZPA-App-Connector-UPSHC-VPC-Node-1,AwsBackup=Required; CostCenter=Softeon; WorkloadType=Production
172.28.25.61,UPSHC-VAC UAT Application Server and  Batch Server - 1,WorkloadType=UAT; CostCenter=UPSHC; AwsBackup=Required
172.28.24.231,UPSHC-VAC QA Application and Batch Server - 1,AwsBackup=Required; CostCenter=UPSHC; WorkloadType=QA
172.28.25.59,UPSHC-HAB UAT Application Server and  Batch Server - 2,AwsBackup=Required; CostCenter=UPSHC; WorkloadType=UAT
172.28.24.52,UPSHC Valid Application and Batch Server,CostCenter=UPSHC; WorkloadType=Production; AwsBackup=Required
172.28.24.242,UPSHC Dev Windows Server EC Pfizer Performance Testing,AwsBackup=Required; CostCenter=UPSHC; WorkloadType=Dev
10.0.10.16,SaddleCreek East-West Prod Node 4 (WES),CostCenter=SaddleCreek; WorkloadType=Production; AwsBackup=Required
172.28.24.10,UPSHC QA Batch Server - 2,AwsBackup=Required; CostCenter=UPSHC; WorkloadType=QA
172.29.61.234,UPS Swarovski Production Application Server 2,CostCenter=UPS; WorkloadType=Production; AwsBackup=Required
172.29.60.211,UPS Birkenstock Production App Node 2,CostCenter=UPS; AwsBackup=Required; WorkloadType=Production
10.154.0.9,Technicolor Production Batch Server - 2,WorkloadType=Production; AwsBackup=Required; CostCenter=Technicolor
10.154.0.202,Vantiva DOMS Production Batch Server,AwsBackup=Required; CostCenter=Technicolor; WorkloadType=Production
10.154.0.199,Vantiva DOMS Production Application Server - 1,WorkloadType=Production; AwsBackup=Required; CostCenter=Technicolor
172.29.61.254,UPS Productionization Production Batch Server - 3,AwsBackup=Required; CostCenter=UPS; WorkloadType=Production
10.0.10.133,SaddleCreek RRS Prod Batch,AwsBackup=Required; CostCenter=SaddleCreek; WorkloadType=Production
10.0.10.196,SaddleCreek WES Infor Prod App 1,CostCenter=SaddleCreek; WorkloadType=Production; AwsBackup=Required
172.28.24.30,UPSHC Europe Valid Application and Batch Server,WorkloadType=Production; CostCenter=UPSHC; AwsBackup=Required
172.28.25.8,UPSHC UAT Application Server 1,WorkloadType=UAT; AwsBackup=Required; CostCenter=UPSHC
172.31.32.5,DuroDyne Ping - Test,CostCenter=DuroDyne; WorkloadType=UAT
172.28.24.222,UPSHC-HAB ProdStage Application Server and  Batch Server - 1,CostCenter=UPSHC; WorkloadType=UAT; AwsBackup=Required
172.31.14.126,FL Production Application and Batch Server New,CostCenter=FL; WorkloadType=Production; AwsBackup=Required
172.29.60.143,UPS Phillips UAT 2,WorkloadType=UAT; CostCenter=UPS; AwsBackup=Required
172.29.60.81,UPS-APAC-UAT-2,CostCenter=UPS; AwsBackup=Required; WorkloadType=UAT
172.29.61.6,UPS Productionization UAT Server - 7 (Geek),CostCenter=UPS; AwsBackup=Required; WorkloadType=UAT
172.31.26.73,Kendra Scott Production Application Server 1,CostCenter=Kendra Scott; AwsBackup=Required; WorkloadType=Production
10.0.7.51,Duluth Production Application Server - 3,AwsBackup=Required; CostCenter=Duluth; WorkloadType=Production
172.18.40.21,Allen Distribution Production LUCA Server,AwsBackup=Required; CostCenter=Allen Distribution; WorkloadType=Production
172.18.40.23,Allen Distribution Production Application Server - 1,AwsBackup=Required; CostCenter=Allen Distribution; WorkloadType=Production
172.29.10.212,TransUMG Production Application Server - 2,WorkloadType=Production; CostCenter=UMG; AwsBackup=Required
172.29.60.85,UPS Pilot Production Node 1,WorkloadType=Production; AwsBackup=Required; CostCenter=UPS
172.31.27.87,Suncast  Production WMS Node 1,AwsBackup=Required; CostCenter=Suncast; WorkloadType=Production
172.29.60.68,UPS Productionization Production Application Server - 8,CostCenter=UPS; AwsBackup=Required; WorkloadType=Production
172.29.60.74,UPS Productionization Production Batch Server - 6,CostCenter=UPS; WorkloadType=Production; AwsBackup=Required
172.29.59.22,UPS Productionization DOMS Production Application Server - 1,CostCenter=UPS; AwsBackup=Required; WorkloadType=Production
172.29.60.151,UPS Productionization Production Application Server - 2,WorkloadType=Production; CostCenter=UPS; AwsBackup=Required
192.168.11.47,NGINX - Reverse Proxy - 2 (AL-2023),CostCenter=Softeon; WorkloadType=Production; AwsBackup=Required
10.0.7.217,ZPA-App-Connector-Duluth-VPC-Node-1,CostCenter=Softeon; WorkloadType=Production; AwsBackup=Required
172.29.61.24,UPS Philips Production Node 1,CostCenter=UPS; WorkloadType=Production; AwsBackup=Required
172.29.61.23,UPS APAC Production Node 2,WorkloadType=Production; CostCenter=UPS; AwsBackup=Required
172.72.2.60,CLITest-Instance-1,AwsBackup=Required; CostCenter=Softeon; WorkloadType=Production
10.0.24.8,ConMed Training Application and Batch Server,AwsBackup=Required; CostCenter=ConMed; WorkloadType=UAT
172.18.40.30,Allen Distribution Production Application Server New - 1,AwsBackup=Required; CostCenter=Allen Distribution; WorkloadType=Production
172.29.10.148,UMG-OMS US Production Batch Application Server - 1,WorkloadType=Production; CostCenter=UMG; AwsBackup=Required
172.29.10.153,UMG-OMS US Production Application Server - 4,WorkloadType=Production; AwsBackup=Required; CostCenter=UMG
172.29.61.5,UPS Productionization UAT Server - 5 (Node-2),AwsBackup=Required; CostCenter=UPS; WorkloadType=Production
192.168.11.39,SMTP Relay - Node 1-Graviton,AwsBackup=Required; CostCenter=Softeon; WorkloadType=Production
172.29.10.217,UMG-OMS Stress US UAT Application Server - 2,WorkloadType=UAT; CostCenter=UMG-OMS; AwsBackup=Required
172.29.10.36,UMG-OMS US Production Application Server - 1,WorkloadType=Production; CostCenter=UMG; AwsBackup=Required
172.29.10.56,UMG-OMS US Production Batch Application Server- 2,AwsBackup=Required; CostCenter=UMG; WorkloadType=Production
172.31.15.61,Vanguard UAT Windows 2025 Server,CostCenter=Softeon; WorkloadType=UAT; AwsBackup=Required
172.18.1.89,ZPA-App-Connector-VPC2-Node-1,CostCenter=Softeon; WorkloadType=Production; AwsBackup=Required
172.31.2.88,ZPA-App-Connector-VPC1-Node-2,WorkloadType=Production; CostCenter=Softeon; AwsBackup=Required
10.0.24.20,ConMed UAT-2 Application and Batch Server,AwsBackup=Required; CostCenter=ConMed; WorkloadType=UAT
172.29.10.137,UMG-OMS US Production Application Server - 2,CostCenter=UMG; AwsBackup=Required; WorkloadType=Production
172.29.10.218,UMG-OMS Stress US UAT Batch Server - 1,CostCenter=UMG; WorkloadType=UAT; AwsBackup=Required
192.168.11.40,SwaggerHub v2.12.1,
172.28.25.36,UPSHC UAT Batch 1 and Application Server 2,CostCenter=UPSHC; AwsBackup=Required; WorkloadType=UAT
172.31.3.112,Softeon Demo Server - 9,AwsBackup=Required; CostCenter=Softeon; WorkloadType=Production
172.31.3.100,Softeon Demo Server - 10,WorkloadType=Production; CostCenter=Softeon; AwsBackup=Required
172.28.24.235,UPSHC-VAC ProdStage Application Server and  Batch Server - 1,AwsBackup=Required; WorkloadType=Dev; CostCenter=UPSHC
172.28.24.238,UPSHC Europe ProdStage Application and Batch Server,AwsBackup=Required; CostCenter=UPSHC; WorkloadType=Dev
10.0.10.49,SaddleCreek - PySpark Server,WorkloadType=Production; CostCenter=SaddleCreek; AwsBackup=Required
172.31.3.119,Softeon Demo Server - 11,AwsBackup=Required; WorkloadType=Production; CostCenter=Softeon
172.29.10.62,UMG-OMS US Production Application Server - 3,CostCenter=UMG; AwsBackup=Required; WorkloadType=Production
192.168.11.73,SMTP Relay - Node 2-Graviton,AwsBackup=Required; CostCenter=Softeon; WorkloadType=Production
192.168.11.185,CloudOps UAT,AwsBackup=Required
172.29.10.179,UMG-OMS Stress US UAT Application Server - 1,WorkloadType=UAT; AwsBackup=Required; CostCenter=UMG-OMS
192.168.10.144,Softeon Demo Server - 10.144  (Replacement Server for 10.144),WorkloadType=Production; CostCenter=Softeon; AwsBackup=Required
10.0.24.188,ConMed UAT Application and Batch Server,CostCenter=ConMed; WorkloadType=UAT; AwsBackup=Required
172.28.24.208,UPSHC-VAC Valid Application and Batch Server,AwsBackup=Required; WorkloadType=Production; CostCenter=UPSHC
172.28.24.214,UPSHC-HAB Valid Application and Batch Server,WorkloadType=Production; CostCenter=UPSHC; AwsBackup=Required
172.31.32.22,DuroDyne-UAT Application and Batch Server - 1,CostCenter=DuroDyne; AwsBackup=Required; WorkloadType=UAT
172.16.250.12,ZPA-App-Connector-CDS-Logistics-VPC-Node-1,CostCenter=Softeon; WorkloadType=Production; AwsBackup=Required
172.31.3.18,Softeon Demo Server - 8,CostCenter=Softeon; WorkloadType=Production; AwsBackup=Required
172.18.40.106,Allen Distribution Production Batch Server New,AwsBackup=Required; WorkloadType=Production; CostCenter=Allen Distribution
172.18.40.102,Allen Distribution Production Application Server New - 2,CostCenter=Allen Distribution; WorkloadType=Production; AwsBackup=Required
172.31.27.122,Suncast  Production Batch Server,WorkloadType=Production; AwsBackup=Required; CostCenter=Suncast
192.168.14.76,Softeon Cloud AD Connect - 1 (Win2025),AwsBackup=Required; WorkloadType=Production; CostCenter=Softeon
172.31.3.24,Softeon-RFP-Assistant,AwsBackup=Required; WorkloadType=Production; CostCenter=Softeon
10.50.28.14,FirstQuality UAT Application and Batch Server,WorkloadType=UAT; CostCenter=FirstQuality; AwsBackup=Required
172.29.59.204,UPS Productionization UAT Server - 9 (API),AwsBackup=Required; CostCenter=UPS; WorkloadType=UAT
10.50.28.4,FirstQuality Production Application Server - 1,WorkloadType=Production; AwsBackup=Required; CostCenter=FirstQuality
172.31.3.27,Graylog Test Server,AwsBackup=Required; CostCenter=Softeon; WorkloadType=UAT
172.31.3.6,FastAPI_Demo,AwsBackup=Required; WorkloadType=UAT; CostCenter=Softeon
172.31.3.126,Sitelinez-UPS-TEST-Instance,AwsBackup=Required; WorkloadType=UAT; CostCenter=Softeon
172.31.3.124,Softeon Demo Server - 7,AwsBackup=Required; WorkloadType=Production; CostCenter=Softeon
172.31.3.125,Softeon Demo Server - 5 - Node3 (Jboss Session Presistance),CostCenter=Softeon; WorkloadType=Production; AwsBackup=Required
172.31.3.109,Softeon Demo Server - 12,AwsBackup=Required; CostCenter=Softeon; WorkloadType=Production
10.50.28.60,FirstQuality Production Batch Server,WorkloadType=Production; CostCenter=FirstQuality; AwsBackup=Required
172.31.34.4,Kinaxis Elastic UI UAT Application Server,AwsBackup=Required; WorkloadType=UAT; CostCenter=Kinaxis
172.31.34.5,Kinaxis Elastic UI Production Application Server - 1,AwsBackup=Required; WorkloadType=Production; CostCenter=Kinaxis
172.31.32.4,DuroDyne Production Application Server - 2,WorkloadType=Production; AwsBackup=Required; CostCenter=DuroDyne
192.168.11.43,ECS Instance - CloudOps-Cluster,aws:cloudformation:logical-id=ECSAutoScalingGroup; aws:cloudformation:stack-id=arn:aws:cloudformation:us-east-1:835314132208:stack/Infra-ECS-Cluster-CloudOps-Cluster-355cf92c/adb19650-b41e-11ef-a400-1294ea0e8403; aws:ec2launchtemplate:version=1; aws:cloudformation:stack-name=Infra-ECS-Cluster-CloudOps-Cluster-355cf92c; aws:ec2launchtemplate:id=lt-0b8a440a33b039afd; AmazonECSManaged=; aws:autoscaling:groupName=Infra-ECS-Cluster-CloudOps-Cluster-355cf92c-ECSAutoScalingGroup-N8su24mRaN0B
172.29.61.55,UPS Productionization GrayLog Server,CostCenter=UPS; WorkloadType=Production; AwsBackup=Required
10.50.28.47,FirstQuality Production Application Server - 2,CostCenter=FirstQuality; AwsBackup=Required; WorkloadType=Production
172.16.250.166,CDS Logistics UAT Application and Batch Server,CostCenter=CDS-Logistics; WorkloadType=UAT; AwsBackup=Required
172.31.34.46,Kinaxis Elastic UI Production Application Server - 2,AwsBackup=Required; WorkloadType=Production; CostCenter=Kinaxis
172.31.32.42,DuroDyne Production Application Server - 1,WorkloadType=Production; AwsBackup=Required; CostCenter=DuroDyne
172.31.32.58,DuroDyne Production Batch Server,AwsBackup=Required; WorkloadType=Production; CostCenter=DuroDyne
172.29.61.43,UPS Productionization UAT Server - 10 ( Elastic Search),WorkloadType=UAT; CostCenter=UPS; AwsBackup=Required
172.30.136.52,Hilco MSSQL 2019 Client Server - Windows 2019,CostCenter=Hilco; AwsBackup=Required; WorkloadType=Production
172.30.64.123,Caseys ANK UAT Application and Batch Server - 1,AwsBackup=Required; CostCenter=Caseys; WorkloadType=UAT
172.30.64.121,Caseys ANK Production Application Server 2,AwsBackup=Required; WorkloadType=Production; CostCenter=Caseys
172.30.64.27,Caseys ANK Production Batch Server 1,WorkloadType=Production; CostCenter=Caseys; AwsBackup=Required
172.30.64.107,Caseys ANK Production Batch Server 2,WorkloadType=Production; AwsBackup=Required; CostCenter=Caseys
172.30.64.5,Caseys ANK Production Application Server 1,AwsBackup=Required; WorkloadType=Production; CostCenter=Caseys
172.30.162.19,ScootersCoffee UAT Application and Batch Server - 1,CostCenter=ScootersCoffee; AwsBackup=Required; WorkloadType=UAT
172.30.64.9,Caseys THT UAT Application and Batch Server-1,WorkloadType=UAT; CostCenter=Caseys; AwsBackup=Required
172.30.64.215,Caseys THT Production Application Server-1,WorkloadType=Production; CostCenter=Caseys; AwsBackup=Required
172.30.64.201,Caseys THT Production Batch Server-1,AwsBackup=Required; CostCenter=Caseys; WorkloadType=Production
172.30.140.60,BFA UAT Application and Batch Server,AwsBackup=Required; CostCenter=BFA; WorkloadType=UAT
172.30.164.4,TIG UAT Application and Batch Server,AwsBackup=Required; CostCenter=TIG; WorkloadType=UAT
172.30.132.5,Tekton UAT Application and Batch Server,AwsBackup=Required; CostCenter=Tekton; WorkloadType=UAT
172.30.136.12,Hilco UAT Application and Batch Server,WorkloadType=UAT; CostCenter=Hilco; AwsBackup=Required
172.30.144.13,Gabes Dev Application and Batch Server,WorkloadType=Dev; AwsBackup=Required; CostCenter=Gabes
172.30.100.124,Sears UAT Batch Server,AwsBackup=Required; WorkloadType=UAT; CostCenter=Sears
172.30.134.119,KSP Production Batch Server,AwsBackup=Required; WorkloadType=Production; CostCenter=KSP
172.30.64.122,Caseys WCS UAT Batch Server - 2,CostCenter=Caseys; WorkloadType=UAT; AwsBackup=Required
172.30.132.107,Tekton Production Batch Server,WorkloadType=Production; AwsBackup=Required; CostCenter=Tekton
172.30.144.53,Gabes Production Batch Server,AwsBackup=Required; WorkloadType=Production; CostCenter=Gabes
172.30.144.54,Gabes Production Application Server - 2,AwsBackup=Required; CostCenter=Gabes; WorkloadType=Production
172.30.162.4,ScootersCoffee Production Application Server - 1,AwsBackup=Required; WorkloadType=Production; CostCenter=ScootersCoffee
172.30.166.20,Hayes UAT Application and Batch Server 1,AwsBackup=Required; CostCenter=Hayes; WorkloadType=UAT
172.30.64.15,Caseys JOP UAT Application and Batch Server - 1,AwsBackup=Required; WorkloadType=UAT; CostCenter=Caseys
172.30.64.231,Caseys THT Production Application Server-2,WorkloadType=Production; CostCenter=Caseys; AwsBackup=Required
172.30.64.242,Caseys THT Production Batch Server-2,CostCenter=Caseys; WorkloadType=Production; AwsBackup=Required
172.30.134.101,KSP Production Application Server - 2,AwsBackup=Required; CostCenter=KSP; WorkloadType=Production
172.30.150.50,JAS Config UAT Application and Batch Server,CostCenter=JAS; AwsBackup=Required; WorkloadType=UAT
172.30.64.106,Caseys JOP Production Batch Server 3 (Backup),WorkloadType=Production; AwsBackup=Required; CostCenter=Caseys
172.30.64.126,Caseys JOP Production Batch Server 2,WorkloadType=Production; CostCenter=Caseys; AwsBackup=Required
172.30.64.124,Caseys JOP Production Application Server 2,WorkloadType=Production; CostCenter=Caseys; AwsBackup=Required
172.30.132.102,Tekton Production Application Server 2,AwsBackup=Required; WorkloadType=Production; CostCenter=Tekton
172.30.136.45,Hilco Production Batch Server,CostCenter=Hilco; WorkloadType=Production; AwsBackup=Required
172.30.136.41,Hilco Production Application Server - 2,AwsBackup=Required; WorkloadType=Production; CostCenter=Hilco
172.30.101.48,Sears Production Application Server 2,CostCenter=Sears; WorkloadType=Production; AwsBackup=Required
172.30.101.50,Sears Production Batch Server 2,AwsBackup=Required; WorkloadType=Production; CostCenter=Sears
172.30.150.53,JAS Production Application Server - 2,AwsBackup=Required; CostCenter=JAS; WorkloadType=Production
172.30.150.51,JAS PreProduction Application and Batch Server,WorkloadType=Production; CostCenter=JAS; AwsBackup=Required
172.30.128.70,ZPA-App-Connector-East2-VPC1-Node-2,AwsBackup=Required; WorkloadType=Production; CostCenter=Softeon
172.30.101.47,ZPA-App-Connector-Sears-VPC-Node-1,CostCenter=Softeon; WorkloadType=Production; AwsBackup=Required
172.30.140.138,BFA Production Batch Server,CostCenter=BFA; WorkloadType=Production; AwsBackup=Required
172.30.140.148,BFA Production Application Server 2,AwsBackup=Required; CostCenter=BFA; WorkloadType=Production
172.30.162.40,ScootersCoffee Production Application Server - 2,AwsBackup=Required; WorkloadType=Production; CostCenter=ScootersCoffee
172.30.162.44,ScootersCoffee Production Batch Server,WorkloadType=Production; CostCenter=ScootersCoffee; AwsBackup=Required
172.30.100.17,Sears UAT Application Server,AwsBackup=Required; CostCenter=Sears; WorkloadType=UAT
10.64.12.59,DIB UAT Application Server - 1,WorkloadType=UAT; CostCenter=DoItBest; AwsBackup=Required
10.64.12.37,DIB UAT Batch Server - 2,CostCenter=DoItBest; AwsBackup=Required; WorkloadType=UAT
172.30.136.22,Hilco Production Application Server - 1,CostCenter=Hilco; AwsBackup=Required; WorkloadType=Production
172.30.101.19,Sears Production Batch Server 1,CostCenter=Sears; WorkloadType=Production; AwsBackup=Required
10.248.224.47,WhiteCap Production Application Server - 2,CostCenter=WhiteCap; WorkloadType=Production; AwsBackup=Required
172.30.101.29,Sears Production Application Server 3,CostCenter=Sears; AwsBackup=Required; WorkloadType=Production
172.30.150.24,JAS Production Batch Server,CostCenter=JAS; WorkloadType=Production; AwsBackup=Required
10.64.12.44,DIB Production Application Server - 2 (DXN),WorkloadType=Production; AwsBackup=Required; CostCenter=DoItBest
10.64.12.58,DIB Production Batch Server - 3 (WCO),WorkloadType=Production; CostCenter=DoItBest; AwsBackup=Required
172.30.130.114,USP Motor Sports Production Application Server - 2,WorkloadType=Production; AwsBackup=Required; CostCenter=USP Motor Sports
10.64.13.50,DIB Production Batch Server - 6 (MDN),AwsBackup=Required; CostCenter=DoItBest; WorkloadType=Production
10.64.13.48,DIB Production Application Server - 10 (MDN),WorkloadType=Production; AwsBackup=Required; CostCenter=DoItBest
172.30.130.109,USP Motor Sports Production Batch Server,WorkloadType=Production; CostCenter=USP Motor Sports; AwsBackup=Required
172.30.134.30,KSP UAT Application and Batch Server,WorkloadType=UAT; CostCenter=KSP; AwsBackup=Required
172.30.134.29,KSP Production Application Server - 1,AwsBackup=Required; WorkloadType=Production; CostCenter=KSP
10.64.12.14,DIB UAT Batch Server - 1,WorkloadType=UAT; CostCenter=DoItBest; AwsBackup=Required
10.64.12.16,DIB-SPMS (Lite) UAT App and Batch Server,AwsBackup=Required; CostCenter=DoItBest; WorkloadType=UAT
10.64.12.213,DIB UAT Batch Server - 3,AwsBackup=Required; CostCenter=DoItBest; WorkloadType=UAT
172.30.160.15,Curology UAT Application and Batch Server,WorkloadType=UAT; CostCenter=Curology; AwsBackup=Required
172.30.64.18,Caseys JOP Production Batch Server 1,AwsBackup=Required; WorkloadType=Production; CostCenter=Caseys
172.30.64.12,Caseys JOP Production Application Server 1,CostCenter=Caseys; WorkloadType=Production; AwsBackup=Required
10.248.224.13,WhiteCap Production Application Server - 1,AwsBackup=Required; WorkloadType=Production; CostCenter=WhiteCap
10.64.12.27,DIB Production Application Server - 1 (DXN),CostCenter=DoItBest; WorkloadType=Production; AwsBackup=Required
10.64.12.13,DIB Production Application Server - 3 (WCO),AwsBackup=Required; CostCenter=DoItBest; WorkloadType=Production
10.64.13.27,DIB Production Application Server - 9 (MDN),CostCenter=DoItBest; AwsBackup=Required; WorkloadType=Production
10.64.12.5,DIB Production Application Server - 7 (SIK),WorkloadType=Production; AwsBackup=Required; CostCenter=DoItBest
172.30.64.26,ZPA-App-Connector-Caseys-VPC-Node-1,AwsBackup=Required; WorkloadType=Production; CostCenter=Softeon
10.64.12.50,DIB Dev Application Server,AwsBackup=Required; CostCenter=DoItBest; WorkloadType=Dev
10.64.12.230,DIB UAT Application Server - 3,WorkloadType=UAT; CostCenter=DoItBest; AwsBackup=Required
